pt                ,en             ,Part of Speech ,Notes              ,Related                    ,
o abril           ,April          ,Noun           ,                   ,                           ,
o agosto          ,August         ,Noun           ,                   ,                           ,
o dezembro        ,December       ,Noun           ,                   ,                           ,
o fevereiro       ,February       ,Noun           ,                   ,                           ,
Sexta-feira       ,Friday         ,Noun           ,                   ,                           ,
Eu                ,I              ,Pronoun        ,                   ,"me, my, mine, myself"     ,
o janeiro         ,January        ,Noun           ,                   ,                           ,
o julho           ,July           ,Noun           ,                   ,                           ,
o junho           ,June           ,Noun           ,                   ,                           ,
a marcha          ,March          ,Noun           ,                   ,                           ,
o maio            ,May            ,Noun           ,                   ,                           ,
a segunda         ,Monday         ,Noun           ,                   ,                           ,
o novembro        ,November       ,Noun           ,                   ,                           ,
o outubro         ,October        ,Noun           ,                   ,                           ,
o sábado          ,Saturday       ,Noun           ,                   ,                           ,
o setembro        ,September      ,Noun           ,                   ,                           ,
o domingo         ,Sunday         ,Noun           ,                   ,                           ,
a quinta-feira    ,Thursday       ,Noun           ,                   ,                           ,
a terça-feira     ,Tuesday        ,Noun           ,                   ,                           ,
a quarta-feira    ,Wednesday      ,Noun           ,                   ,                           ,
a Terra           ,earth          ,Noun           ,                   ,                           ,
o Deus            ,god            ,Noun           ,                   ,                           ,
a camiseta        ,t-shirt        ,Noun           ,                   ,                           ,
o ator            ,actor          ,Noun           ,                   ,                           ,
o adjetivo        ,adjective      ,Noun           ,                   ,                           ,
o adulto          ,adult          ,Noun           ,                   ,                           ,
a tarde           ,afternoon      ,Noun           ,                   ,                           ,
o ar              ,air            ,Noun           ,                   ,                           ,
o aeroporto       ,airport        ,Noun           ,                   ,                           ,
o vivo            ,alive          ,Noun           ,                   ,                           ,
e                 ,and            ,Conjunction    ,                   ,                           ,
o animal          ,animal         ,Noun           ,                   ,                           ,
a resposta        ,answer         ,Noun           ,                   ,                           ,
o qualquer coisa  ,anything       ,Noun           ,                   ,                           ,
separado          ,apart          ,Adverb         ,                   ,                           ,
o apartamento     ,apartment      ,Noun           ,                   ,                           ,
a maçã            ,apple          ,Noun           ,                   ,                           ,
o braço           ,arm            ,Noun           ,                   ,                           ,
o Exército        ,army           ,Noun           ,                   ,                           ,
ao redor          ,around         ,Noun           ,                   ,                           ,
a arte            ,art            ,Noun           ,                   ,                           ,
o artista         ,artist         ,Noun           ,                   ,                           ,
Como              ,as             ,Conjunction    ,                   ,                           ,
no                ,at             ,Conjunction    ,                   ,.                          
o ataque          ,attack         ,Noun           ,                   ,                           ,
A atenção         ,attention      ,Noun           ,                   ,                           ,
A tia             ,aunt           ,Noun           ,                   ,                           ,
a distância       ,away           ,Noun           ,                   ,                           ,
o autor           ,author         ,Noun           ,                   ,                           ,
o bebê            ,baby           ,Noun           ,                   ,                           ,
as costas         ,back           ,Noun           ,body               ,                           ,
as costas         ,back           ,Noun           ,direction          ,                           ,
o mal             ,bad            ,Noun           ,                   ,"worse, worst"             ,
a bolsa           ,bag            ,Noun           ,                   ,                           ,
a bola            ,ball           ,Noun           ,                   ,                           ,
a banana          ,banana         ,Noun           ,                   ,                           ,
a banda           ,band           ,Noun           ,music              ,                           ,
o banco           ,bank           ,Noun           ,                   ,                           ,
o bar             ,bar            ,Noun           ,Location           ,                           ,
a base            ,base           ,Noun           ,                   ,                           ,
o morcego         ,bat            ,Noun           ,                   ,                           ,
o banheiro        ,bathroom       ,Noun           ,                   ,                           ,
a praia           ,beach          ,Noun           ,                   ,                           ,
