nl                        ,en             ,Part of Speech ,Notes              ,Related                    ,
de april                  ,April          ,Noun           ,                   ,                           ,
de augustus               ,August         ,Noun           ,                   ,                           ,
de december               ,December       ,Noun           ,                   ,                           ,
de februari               ,February       ,Noun           ,                   ,                           ,
de vrijdag                ,Friday         ,Noun           ,                   ,                           ,
l                         ,I              ,Pronoun        ,                   ,"me, my, mine, myself"     ,
de januari                ,January        ,Noun           ,                   ,                           ,
de juli                   ,July           ,Noun           ,                   ,                           ,
de juni                   ,June           ,Noun           ,                   ,                           ,
de mars                   ,March          ,Noun           ,                   ,                           ,
de mei                    ,May            ,Noun           ,                   ,                           ,
de maandag                ,Monday         ,Noun           ,                   ,                           ,
de november               ,November       ,Noun           ,                   ,                           ,
de oktober                ,October        ,Noun           ,                   ,                           ,
de zaterdag               ,Saturday       ,Noun           ,                   ,                           ,
de september              ,September      ,Noun           ,                   ,                           ,
de zondag                 ,Sunday         ,Noun           ,                   ,                           ,
de donderdag              ,Thursday       ,Noun           ,                   ,                           ,
de dinsdag                ,Tuesday        ,Noun           ,                   ,                           ,
de woensdag               ,Wednesday      ,Noun           ,                   ,                           ,
de aarde                  ,earth          ,Noun           ,                   ,                           ,
de God                    ,god            ,Noun           ,                   ,                           ,
het T-shirt               ,t-shirt        ,Noun           ,                   ,                           ,
de acteur                 ,actor          ,Noun           ,                   ,                           ,
Het bijvoeglijk naamwoord ,adjective      ,Noun           ,                   ,                           ,
de volwassene             ,adult          ,Noun           ,                   ,                           ,
de middag                 ,afternoon      ,Noun           ,                   ,                           ,
de lucht                  ,air            ,Noun           ,                   ,                           ,
de luchthaven             ,airport        ,Noun           ,                   ,                           ,
de levenden               ,alive          ,Noun           ,                   ,                           ,
en                        ,and            ,Conjunction    ,                   ,                           ,
het dier                  ,animal         ,Noun           ,                   ,                           ,
het antwoord              ,answer         ,Noun           ,                   ,                           ,
het iets                  ,anything       ,Noun           ,                   ,                           ,
deel                      ,apart          ,Adverb         ,                   ,                           ,
het appartement           ,apartment      ,Noun           ,                   ,                           ,
de appel                  ,apple          ,Noun           ,                   ,                           ,
de arm                    ,arm            ,Noun           ,                   ,                           ,
het leger                 ,army           ,Noun           ,                   ,                           ,
de omgeving               ,around         ,Noun           ,                   ,                           ,
de kunst                  ,art            ,Noun           ,                   ,                           ,
