ar                   ,en             ,Part of Speech ,Notes              ,Related                    ,
أبريل                ,April          ,Noun           ,                   ,                           ,
أغسطس                ,August         ,Noun           ,                   ,                           ,
ديسمبر               ,December       ,Noun           ,                   ,                           ,
فبراير               ,February       ,Noun           ,                   ,                           ,
الجمعة               ,Friday         ,Noun           ,                   ,                           ,
أنا                  ,I              ,Pronoun        ,                   ,"me, my, mine, myself"     ,
يناير                ,January        ,Noun           ,                   ,                           ,
يوليو                ,July           ,Noun           ,                   ,                           ,
يونيو                ,June           ,Noun           ,                   ,                           ,
مارس                 ,March          ,Noun           ,                   ,                           ,
مايو                 ,May            ,Noun           ,                   ,                           ,
يوم الاثنين          ,Monday         ,Noun           ,                   ,                           ,
نوفمبر               ,November       ,Noun           ,                   ,                           ,
أكتوبر               ,October        ,Noun           ,                   ,                           ,
السبت                ,Saturday       ,Noun           ,                   ,                           ,
سبتمبر               ,September      ,Noun           ,                   ,                           ,
الأحد                ,Sunday         ,Noun           ,                   ,                           ,
يوم الخميس           ,Thursday       ,Noun           ,                   ,                           ,
الثلاثاء             ,Tuesday        ,Noun           ,                   ,                           ,
الاربعاء             ,Wednesday      ,Noun           ,                   ,                           ,
الأرض                ,earth          ,Noun           ,                   ,                           ,
الله                 ,god            ,Noun           ,                   ,                           ,
القميص               ,t-shirt        ,Noun           ,                   ,                           ,
الممثل               ,actor          ,Noun           ,                   ,                           ,
وصفة                 ,adjective      ,Noun           ,                   ,                           ,
الكبار               ,adult          ,Noun           ,                   ,                           ,
بعد الظهر            ,afternoon      ,Noun           ,                   ,                           ,
الهواء               ,air            ,Noun           ,                   ,                           ,
المطار               ,airport        ,Noun           ,                   ,                           ,
على قيد الحياة       ,alive          ,Noun           ,                   ,                           ,
و                    ,and            ,Conjunction    ,                   ,                           ,
الحيوان              ,animal         ,Noun           ,                   ,                           ,
الاجابة              ,answer         ,Noun           ,                   ,                           ,
أي شيء               ,anything       ,Noun           ,                   ,                           ,
بعيدا، بمعزل، على حد ,apart          ,Adverb         ,                   ,                           ,
الشقة                ,apartment      ,Noun           ,                   ,                           ,
التفاحة              ,apple          ,Noun           ,                   ,                           ,
الذراع               ,arm            ,Noun           ,                   ,                           ,
الجيش                ,army           ,Noun           ,                   ,                           ,
حول                  ,around         ,Noun           ,                   ,                           ,
الفن                 ,art            ,Noun           ,                   ,                           ,
الفنان               ,artist         ,Noun           ,                   ,                           ,
كما                  ,as             ,Conjunction    ,                   ,                           ,
في                   ,at             ,Conjunction    ,                   ,.                          
الهجوم               ,attack         ,Noun           ,                   ,                           ,
الانتباه             ,attention      ,Noun           ,                   ,                           ,
العمه                ,aunt           ,Noun           ,                   ,                           ,
بعيدا                ,away           ,Noun           ,                   ,                           ,
المؤلف               ,author         ,Noun           ,                   ,                           ,
الطفل                ,baby           ,Noun           ,                   ,                           ,
الظهر                ,back           ,Noun           ,body               ,                           ,
الظهر                ,back           ,Noun           ,direction          ,                           ,
السيء                ,bad            ,Noun           ,                   ,"worse, worst"             ,
الحقيبة              ,bag            ,Noun           ,                   ,                           ,
الكرة                ,ball           ,Noun           ,                   ,                           ,
الموز                ,banana         ,Noun           ,                   ,                           ,
الفرقة               ,band           ,Noun           ,music              ,                           ,
البنك                ,bank           ,Noun           ,                   ,                           ,
الحانة               ,bar            ,Noun           ,Location           ,                           ,
القاعدة              ,base           ,Noun           ,                   ,                           ,
الوطواط              ,bat            ,Noun           ,                   ,                           ,
الحمام               ,bathroom       ,Noun           ,                   ,                           ,
الشاطئ               ,beach          ,Noun           ,                   ,                           ,
الدب                 ,bear           ,Noun           ,                   ,                           ,
اللحية               ,beard          ,Noun           ,                   ,                           ,
الجميله              ,beautiful      ,Noun           ,                   ,                           ,
السرير               ,bed            ,Noun           ,                   ,                           ,
غرفة النوم           ,bedroom        ,Noun           ,                   ,                           ,
النحلة               ,bee            ,Noun           ,                   ,                           ,
اللحم                ,beef           ,Noun           ,                   ,                           ,
البيرة               ,beer           ,Noun           ,                   ,                           ,
قبل                  ,before         ,Preposition    ,                   ,                           ,
خلف                  ,behind         ,Preposition    ,                   ,                           ,
الجرس                ,bell           ,Noun           ,                   ,                           ,
البطن                ,belly          ,Noun           ,                   ,                           ,
المشروب              ,beverage       ,Noun           ,                   ,                           ,
الدراجة              ,bicycle        ,Noun           ,                   ,                           ,
الكبير / الكبير      ,big/large      ,Noun           ,                   ,                           ,
الفاتورة             ,bill           ,Noun           ,                   ,                           ,
المليار              ,billion        ,Noun           ,                   ,                           ,
الطائر               ,bird           ,Noun           ,                   ,                           ,
عيد الميلاد          ,birthday       ,Noun           ,                   ,                           ,
الأسود               ,black          ,Noun           ,                   ,                           ,
أعمى                 ,blind          ,Adjective      ,                   ,                           ,
الكتلة               ,block          ,Noun           ,                   ,                           ,
الدم                 ,blood          ,Noun           ,                   ,                           ,
الضربة               ,blow           ,Noun           ,                   ,                           ,
أزرق                 ,blue           ,Adjective      ,                   ,                           ,
القارب               ,boat           ,Noun           ,                   ,                           ,
الجسم                ,body           ,Noun           ,                   ,                           ,
العظم                ,bone           ,Noun           ,                   ,                           ,
الكتاب               ,book           ,Noun           ,                   ,                           ,
الحدود               ,border         ,Noun           ,                   ,                           ,
الزجاجة              ,bottle         ,Noun           ,                   ,                           ,
القاع                ,bottom         ,Noun           ,                   ,                           ,
وعاء                 ,bowl           ,Noun           ,                   ,                           ,
الصندوق              ,box            ,Noun           ,                   ,                           ,
الصبي                ,boy            ,Noun           ,                   ,                           ,
العشيق               ,boyfriend      ,Noun           ,                   ,                           ,
الدماغ               ,brain          ,Noun           ,                   ,                           ,
الخبز                ,bread          ,Noun           ,                   ,                           ,
الافطار              ,breakfast      ,Noun           ,                   ,                           ,
الجسر                ,bridge         ,Noun           ,                   ,                           ,
الأخ                 ,brother        ,Noun           ,                   ,                           ,
البني                ,brown          ,Noun           ,                   ,                           ,
المبنى               ,building       ,Noun           ,                   ,                           ,
الحافلة              ,bus            ,Noun           ,                   ,                           ,
لكن                  ,but            ,Conjunction    ,                   ,                           ,
الكعكة               ,cake           ,Noun           ,                   ,                           ,
الكاميرا             ,camera         ,Noun           ,                   ,                           ,
المخيم               ,camp           ,Noun           ,                   ,                           ,
يستطيع               ,can            ,Verb           ,                   ,                           ,
الشمعة               ,candle         ,Noun           ,                   ,                           ,
القبعة               ,cap            ,Noun           ,                   ,                           ,
السيارة              ,car            ,Noun           ,                   ,                           ,
البطاقة              ,card           ,Noun           ,                   ,                           ,
المهنة               ,career         ,Noun           ,                   ,                           ,
الجزرة               ,carrot         ,Noun           ,                   ,                           ,
القط                 ,cat            ,Noun           ,                   ,                           ,
السقف                ,ceiling        ,Noun           ,                   ,                           ,
الخلية               ,cell           ,Noun           ,                   ,                           ,
المائة               ,cent           ,Noun           ,                   ,                           ,
المركز               ,center         ,Noun           ,                   ,                           ,
القرن                ,century        ,Noun           ,                   ,                           ,
السنتيمتر            ,centimeter     ,Noun           ,                   ,                           ,
تأكيد                ,certain        ,Adjective      ,                   ,                           ,
الكرسي               ,chair          ,Noun           ,                   ,                           ,
الرخيص               ,cheap          ,Noun           ,                   ,                           ,
الجبنة               ,cheese         ,Noun           ,                   ,                           ,
الدجاجة              ,chicken        ,Noun           ,                   ,                           ,
الطفل                ,child          ,Noun           ,                   ,                           ,
الذقن                ,chin           ,Noun           ,                   ,                           ,
الكنيسة              ,church         ,Noun           ,                   ,                           ,
الدائرة              ,circle         ,Noun           ,                   ,                           ,
المدينة              ,city           ,Noun           ,                   ,                           ,
الطين                ,clay           ,Noun           ,                   ,                           ,
الفصل                ,class          ,Noun           ,                   ,                           ,
ينظف                 ,clean          ,Adjective      ,                   ,                           ,
الساعة               ,clock          ,Noun           ,                   ,                           ,
أغلق                 ,close          ,Adverb         ,                   ,                           ,
الملابس              ,clothing       ,Noun           ,                   ,clothes                    ,
الساعة               ,clock          ,Noun           ,                   ,                           ,
الملابس              ,cloth          ,Noun           ,                   ,                           ,
الغيمة               ,cloud          ,Noun           ,                   ,                           ,
النادي               ,club           ,Noun           ,location           ,                           ,
المعطف               ,coat           ,Noun           ,                   ,                           ,
القهوة               ,coffee         ,Noun           ,                   ,                           ,
البرد                ,cold           ,Noun           ,                   ,                           ,
اللون                ,color          ,Noun           ,                   ,                           ,
اللجنة               ,committee      ,Noun           ,                   ,                           ,
الشركة               ,company        ,Noun           ,                   ,                           ,
الكمبيوتر            ,computer       ,Noun           ,                   ,                           ,
المعقد               ,complex        ,Noun           ,                   ,                           ,
الساكن               ,consonant      ,Noun           ,                   ,                           ,
الحالة               ,condition      ,Noun           ,                   ,                           ,
العقد                ,contract       ,Noun           ,                   ,                           ,
بارد                 ,cool           ,Adjective      ,                   ,                           ,
النحاس               ,copper         ,Noun           ,                   ,                           ,
الذرة                ,corn           ,Noun           ,                   ,                           ,
الزاوية              ,corner         ,Noun           ,                   ,                           ,
البلد                ,country        ,Noun           ,(e.g. USA & Spain) ,                           ,
المحكمة              ,court          ,Noun           ,                   ,                           ,
الغطاء               ,cover          ,Noun           ,                   ,                           ,
البقرة               ,cow            ,Noun           ,                   ,                           ,
الحشد                ,crowd          ,Noun           ,                   ,                           ,
الكأس                ,cup            ,Noun           ,                   ,                           ,
المنحني              ,curved         ,Noun           ,                   ,                           ,
جذاب                 ,cute           ,Adjective      ,                   ,                           ,
الاب                 ,dad            ,Noun           ,                   ,Daddy                      ,
الظلام               ,dark           ,Noun           ,                   ,                           ,
التاريخ              ,date           ,Noun           ,e.g. May 7         ,                           ,
الابنة               ,daughter       ,Noun           ,                   ,                           ,
اليوم                ,day            ,Noun           ,                   ,                           ,
الموتى               ,dead           ,Noun           ,                   ,                           ,
الأصم                ,deaf           ,Noun           ,                   ,                           ,
الموت                ,death          ,Noun           ,                   ,                           ,
العميق               ,deep           ,Noun           ,                   ,                           ,
الألماس              ,diamond        ,Noun           ,                   ,                           ,
